Production Name ,Production Code,Production Company ,Production Designer ,Supervising Art Director,Financial Controller ,Art Dept Coordinator ,Production Type,Initial Status ,Start Date,End Date,Contract Type
Construct Scenery - Internal Costs,101,Construct Scenery Ltd,Warren Lever,,,,Internal,Ongoing ,02/12/2020,02/09/2026,On Price
Pennyworth S2,102,Shoe Bucket Ltd,,,,,Series,Complete ,18/08/2020,30/11/2021,Cost Plus
Commerical - LG,103,Smuggler London Ltd ,Kevin Phipps ,,,,Commercial ,Complete ,02/12/2020,27/07/2023,On Price
Commerical - Shreddies,104,Agile Films Ltd,Will Field,,,,Commercial ,Complete ,02/12/2020,17/08/2022,On Price
Commerical - Sky,105,Merman London Ltd ,Damien Creagh,,,,Commercial ,Complete ,10/12/2020,29/07/2021,On Price
Oslo,106,Redcastle Productions Ltd ,Mike Carlin,,,,Feature Film,Complete ,08/01/2021,08/02/2022,Cost Plus
WBL Planters,107,,,,,,Commercial ,Complete ,03/02/2021,08/02/2021,On Price
Arlo Brave Spark,108,Brave Spark Ltd,,,,,Commercial ,Complete ,03/02/2021,10/02/2021,On Price
Commercial - Warbutons ,109,Another Film Company Ltd ,,,,,Commercial ,Complete ,03/03/2021,08/10/2025,On Price
Commercial - Duracell,110,Strink Ltd,,,,,Commercial ,Complete ,23/04/2021,16/11/2021,On Price
Pennyworth S3,111,Shoe Bucket Ltd,,,,,Series,Complete ,11/03/2021,06/02/2023,Cost Plus
Commercial - Hello Fresh,112,Recipe London Ltd ,,,,,Commercial ,Complete ,09/08/2021,09/08/2021,On Price
Loveless S4,113,Shoe Bucket Ltd,,,,,Series,Complete ,04/02/2022,22/10/2025,Cost Plus
Pennyworth - Backlot Strike,114,Shoe Bucket Ltd,,,,,Series,Complete ,21/09/2022,02/02/2023,On Price
Say Nothing ,115,Minim UK Productions Ltd,,,,,Series,Complete ,06/11/2022,23/06/2026,On Price
Commercial - Money Supermarket ,116,,,,,,Commercial ,Complete ,23/11/2022,08/12/2022,On Price
Commercial - Xylem ,117,Brave Marketing Ltd,,,,,Commercial ,Complete ,28/11/2022,30/01/2023,On Price
Amateur,118,TCS UK Productions 9 Limited ,,,,,Feature Film,Complete ,30/03/2023,12/08/2025,Cost Plus
Commercial - Sky Ryadh,119,Park Pictures Limited ,,,,,Commercial ,Complete ,30/08/2023,08/10/2025,On Price
Lennon,120,KGB Films (New York),,,,,Commercial ,Complete ,07/11/2023,11/12/2023,On Price
Umo,121,Umo Project Ltd ,,,,,Film,Complete ,18/01/2024,08/10/2025,On Price
Ovo,122,,,,,,Commercial ,Complete ,22/02/2021,22/05/2024,On Price
Commercial - Ninja,123,Studio 99 Ltd,,,,,Commercial ,Complete ,23/09/2024,20/02/2025,On Price
Faul 2025,124,Palladium MF2 Ltd,,,,,Film,Complete ,20/05/2025,21/08/2025,On Price
Corinthians ,125,Velocity Prodcuctions Ltd,,,,,Feature Film,Complete ,27/06/2025,01/06/2026,Cost Plus
Commericial - SquareSpace ,126,Champagne Films Limited,,,,,Commercial ,Complete ,14/11/2025,11/03/2026,On Price
Commercial - Dyson,127,Love Song Films Ltd,,,,,Commercial ,Complete ,10/03/2026,25/03/2026,On Price
Mudlarkers ,128,TCFTV UK Productions Ltd ,,,,,Series,Complete ,09/04/2026,15/09/2026,On Price
